label_0,label_1,period_label,period,value
Псковская область,рубль,,1997,563.1
Псковская область,рубль,,1998,602.2
Псковская область,рубль,,1999,972.3
Псковская область,рубль,,2000,1374.8
Псковская область,рубль,,2001,1847.7
Псковская область,рубль,,2002,2735.0
Псковская область,рубль,,2003,3555.7
Псковская область,рубль,,2004,4293.6
Псковская область,рубль,,2005,4926.8
Псковская область,рубль,,2006,6422.5
Псковская область,рубль,,2007,7923.2
Город Санкт-Петербург город федерального значения,рубль,,1995,670.0
Город Санкт-Петербург город федерального значения,рубль,,1996,918.8
Город Санкт-Петербург город федерального значения,рубль,,1997,1015.1
Город Санкт-Петербург город федерального значения,рубль,,1998,1169.2
Город Санкт-Петербург город федерального значения,рубль,,1999,1820.3
Город Санкт-Петербург город федерального значения,рубль,,2000,2555.6
Город Санкт-Петербург город федерального значения,рубль,,2001,3425.8
Город Санкт-Петербург город федерального значения,рубль,,2002,4514.4
Город Санкт-Петербург город федерального значения,рубль,,2003,6851.2
Город Санкт-Петербург город федерального значения,рубль,,2004,9175.7
Город Санкт-Петербург город федерального значения,рубль,,2005,12263.7
Город Санкт-Петербург город федерального значения,рубль,,2006,13686.7
Город Санкт-Петербург город федерального значения,рубль,,2007,16214.2
Южный федеральный округ (по 2009 год),рубль,,2000,1429.3
Южный федеральный округ (по 2009 год),рубль,,2001,1907.9
Южный федеральный округ (по 2009 год),рубль,,2002,2548.4
Южный федеральный округ (по 2009 год),рубль,,2003,3309.6
Южный федеральный округ (по 2009 год),рубль,,2004,4169.3
Южный федеральный округ (по 2009 год),рубль,,2005,5332.9
Южный федеральный округ (по 2009 год),рубль,,2006,6813.8
Южный федеральный округ (по 2009 год),рубль,,2007,8716.8
Республика Адыгея (Адыгея),рубль,,1995,273.8
Республика Адыгея (Адыгея),рубль,,1996,412.6
Республика Адыгея (Адыгея),рубль,,1997,546.0
Республика Адыгея (Адыгея),рубль,,1998,605.9
Республика Адыгея (Адыгея),рубль,,1999,966.9
Республика Адыгея (Адыгея),рубль,,2000,1385.3
Республика Адыгея (Адыгея),рубль,,2001,1642.5
Республика Адыгея (Адыгея),рубль,,2002,2166.9
Республика Адыгея (Адыгея),рубль,,2003,2548.9
Республика Адыгея (Адыгея),рубль,,2004,3080.3
Республика Адыгея (Адыгея),рубль,,2005,3892.9
Республика Адыгея (Адыгея),рубль,,2006,4731.0
Республика Адыгея (Адыгея),рубль,,2007,5802.1
Республика Калмыкия,рубль,,1995,234.7
Республика Калмыкия,рубль,,1996,342.6
Республика Калмыкия,рубль,,1997,482.9
Республика Калмыкия,рубль,,1998,478.1
Республика Калмыкия,рубль,,1999,755.1
Республика Калмыкия,рубль,,2000,979.0
Республика Калмыкия,рубль,,2001,1545.5
Республика Калмыкия,рубль,,2002,1763.0
Республика Калмыкия,рубль,,2003,2100.2
Республика Калмыкия,рубль,,2004,2312.1
Республика Калмыкия,рубль,,2005,2391.9
Республика Калмыкия,рубль,,2006,3456.7
Республика Калмыкия,рубль,,2007,4375.2
Краснодарский край,рубль,,1995,356.1
Краснодарский край,рубль,,1996,572.8
Краснодарский край,рубль,,1997,670.0
